t_index	term	df
1256	ave	1
1257	aveng	7
1258	avent	1
1259	avenu	4
1260	averag	14
1261	avert	6
1262	aviat	3
1263	aviv	4
1264	avner	2
1265	avoid	59
1266	avow	1
1267	aw	10
1268	awad	2
1269	await	27
1270	awaken	2
1271	awar	18
1272	award	9
1273	away	167
1274	awe	4
1275	aweigh	1
1276	awkward	4
1277	awn	4
1278	awok	1
1279	axam	1
1280	axe	1
1281	ay	2
1282	ayatollah	1
1283	aykroyd	1
1284	ayman	5
1285	aynaoui	1
1286	ayr	1
1287	ayyam	2
1288	az	1
1289	aziz	1
1290	azul	1
1291	azulay	2
1292	b	20
1293	b10202000bt648	1
1294	b2	1
1295	b92	2
1296	ba	2
1297	babenko	2
1298	babi	14
1299	babkin	6
1300	baboa	1
1301	back	380
1302	backa	1
1303	backbo	1
1304	backcourt	1
1305	backdrop	4
1306	backer	14
1307	backfir	5
1308	background	4
1309	backhand	14
1310	backho	1
1311	backlash	3
1312	backstop	2
1313	backup	2
1314	backward	3
1315	backyard	1
1316	bacon	18
1317	bad	39
1318	badawi	1
1319	badg	3
1320	badli	39
1321	badrasen	5
1322	baffl	2
1323	bag	14
1324	bagad	1
1325	baggag	1
1326	baghbel	1
1327	baghdad	2
1328	bahg	5
1329	bahrain	35
1330	bai	1
1331	baijubahi	2
1332	bail	4
1333	bailey	6
1334	baird	1
1335	bairnt	1
1336	bait	1
1337	bakarec	3
1338	bake	2
1339	baken	1
1340	baker	5
1341	bakhshish	1
1342	bakri	5
1343	balanc	21
1344	balawat	1
1345	balcacer	2
1346	balconi	11
1347	bald	1
1348	balint	1
1349	balk	4
1350	balkan	25
1351	ball	30
1352	ballard	1
1353	ballast	2
1354	ballena	1
1355	ballist	2
1356	ballo	1
1357	balloon	3
1358	ballot	72
1359	ballroom	2
1360	balonia	1
1361	balsamo	1
1362	baltimor	3
1363	baltin	1
1364	bamba	3
1365	bambi	1
1366	bamboo	4
1367	bament	1
1368	ban	24
1369	banco	1
1370	band	11
1371	bandag	8
1372	bandanna	3
1373	bandit	1
1374	bang	7
1375	bangalor	1
1376	bangaru	3
1377	bangladesh	5
1378	bank	69
1379	banker	10
1380	bankrupt	5
1381	bankruptci	4
1382	banner	9
1383	bannon	1
1384	banquet	1
1385	bantrti	1
1386	baptist	6
1387	bar	54
1388	barak	9
1389	barb	4
1390	barbar	2
1391	barbara	24
1392	barber	1
1393	barbershop	1
1394	barcelona	1
1395	bare	46
1396	barefacedli	1
1397	barent	36
1398	barg	3
1399	bargain	9
1400	bari	1
1401	bark	1
1402	barkina	2
1403	barkolla	1
1404	barkova	3
1405	barna	4
1406	barney	1
